0	1	2	3	4	uc_smillie2020_imm	covid19_yoshida2022_airways	nslc_kim2020_old	nslc_kim2020	crc_zhang2020	siv_quinn2023	tb_alexandria_4wk	tb_alexandria_10wk	tb_alexandria_4bwk	ibd_predict	nslc_liu2022	covid19_grant2021	covid19_ren2021	nslc_guo2018	crc_zhang2018	nslc_lambrechts2018	ild_adams2020	ild_fabre2022	ild_habermann2019	tb_cai2022	ced_atalsy2022	crc_pelka2021
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T follicular regulatory cell	Follicular	T fh								Cycling|Tfh,Tfh|PD1,Tfh|PD1.NR4A1,Tfh|IL7R												cTNI06 (CD4+ TFH)
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	Tr1 cell																						
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	CD4 memory T cell	CD4+ Memory	T CD4 mem								CD4Mem|CCR6,CD4Mem|CXCR3,	CD4_C2-Tcm,CD4_C3-Tem	CD4 CM T cells		CD4_C2-ANXA1								
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	exhausted helper T cell			T lymphocytes+T/NK cells+Exhausted Tfh	Exhausted Tfh																		
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	CD4-positive, alpha-beta cytotoxic T cell												CD4 cytotoxic T cells										
Immune cell	Lymphoid cell	T cell lineage	CD8-positive, alpha-beta cytotoxic T cell		CD8+ IELs,CD8+ LP,CD8+ IL17+		NK cells+T/NK cells+CD8 low T,NK cells+T/NK cells+Cytotoxic CD8+ T,T lymphocytes+T/NK cells+CD8 low T,T lymphocytes+T/NK cells+CD8 low T,T lymphocytes+T/NK cells+Cytotoxic CD8+ T	Cytotoxic CD8+ T,CD8 low T	hT16_CD8-CD6,hT18_CD8-LAYN,hT17_CD8-CD160,hT13_CD8-GPR183,hT15_CD8-GZMK,hT12_CD8-LEF1,hT14_CD8-CX3CR1	Cytotoxic T Cells		TCytotoxic4,TCytotoxic1,TCytotoxic2,TCytotoxic5,TCytotoxic6,TCytotoxic3		IEL|IKZF2,IEL|CD8,IEL|XCL,Effector|CD8,Effector|HOPX,Hobit|CD8	Non-exhausted,Prolif.	CD8 cytotoxic T cells	T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2	CD8_C2-CD28,CD8_C4-GZMK	CD8_C01-LEF1,CD8_C02-GPR183,CD8_C03-CX3CR1,CD8_C04-GZMK,CD8_C05-CD6,CD8_C06-CD160,CD8_C07-LAYN,CD8_C08-SLC4A10	CD8+ T cells	T_Cytotoxic_C,T_Cytotoxic_B,T_Cytotoxic_A			CD8	CD8-positive, alpha-beta cytotoxic T cell	cTNI11 (CD8+GZMK+),cTNI10 (CD8+ IL7R+),cTNI13 (CD8+ T IL17+),cTNI16 (CD8+ CXCL13+ prolif),cTNI14 (CD8+ CXCL13+),cTNI12 (CD8+ IL7R+),cTNI15 (CD8+ CXCL13+ HSP+)
Immune cell	Lymphoid cell	T cell lineage	CD8-positive, alpha-beta cytotoxic T cell	CD8 naive T cell 		T naive	NK cells+T/NK cells+Naive CD8+ T,T lymphocytes+T/NK cells+Naive CD8+ T	Naive CD8+ T						CD8Naive|CD8				CD8_C1-LEF1								
Immune cell	Lymphoid cell	T cell lineage	CD8-positive, alpha-beta cytotoxic T cell	CD8 effector T cell														CD8_C3-CX3CR1								
Immune cell	Lymphoid cell	T cell lineage	CD8-positive, alpha-beta cytotoxic T cell	CD8 memory T cell		T CD8 mem 1,T CD8 mem 2,T CD8 mem 3								CD8Mem|Trm.LP,CD8Mem|Trm.EPI		CD8 cytotoxic TRM T cells		CD8_C5-ZNF683								
Immune cell	Lymphoid cell	T cell lineage	CD8-positive, alpha-beta cytotoxic T cell	CD8 cytokine secreting T cell																						
